aevo_bid,aevo_ask,hl_bid,hl_ask
0.43,0.4311,0.4313,0.43136
0.43,0.4311,0.4313,0.43136
0.4298,0.4315,0.4313,0.43136
0.4298,0.4313,0.4313,0.43136
0.4298,0.431,0.4313,0.43136
0.4298,0.431,0.4313,0.43136
0.4298,0.4311,0.4313,0.43136
0.4297,0.4311,0.4313,0.43136
0.4299,0.4311,0.4313,0.43136
0.4299,0.4311,0.4313,0.43135
0.4299,0.431,0.4313,0.43135
0.4299,0.431,0.4313,0.43135
0.4299,0.431,0.4313,0.43135
0.4299,0.431,0.4313,0.43135
0.4299,0.4309,0.4313,0.43135
0.4299,0.431,0.4313,0.43135
0.4299,0.431,0.4313,0.43135
